task_id,step_id,status,reference_action_type,raw_field_count,raw_tokens_approx,raw_fer,raw_ter,raw_sufficiency_rate,relevant_field_count,relevant_fields,relevant_fer,relevant_ter,relevant_sufficiency_rate,relevant_strict_sufficient,minobs_field_count,minobs_fields,minobs_fer,minobs_ter,zero_payload
user_task_18,3,ok,final_answer,9,93,1.0,1.0,1.0,6,"[""description"", ""end_time"", ""location"", ""participants"", ""start_time"", ""title""]",0.6666666666666666,0.8602150537634409,1.0,True,0,[],0.0,0.010752688172043012,True
user_task_20,2,ok,final_answer,9,70,1.0,1.0,1.0,5,"[""description"", ""end_time"", ""participants"", ""start_time"", ""title""]",0.5555555555555556,0.7428571428571429,1.0,True,0,[],0.0,0.014285714285714285,True
user_task_21,2,ok,final_answer,9,86,1.0,1.0,1.0,5,"[""description"", ""end_time"", ""participants"", ""start_time"", ""title""]",0.5555555555555556,0.7906976744186046,1.0,True,0,[],0.0,0.011627906976744186,True
user_task_22,0,ok,final_answer,11,291,1.0,1.0,1.0,4,"[""body"", ""sender"", ""subject"", ""timestamp""]",0.36363636363636365,0.7594501718213058,1.0,True,1,"[""body""]",0.09090909090909091,0.5360824742268041,False
user_task_24,0,ok,final_answer,11,650,1.0,1.0,1.0,4,"[""read"", ""sender"", ""subject"", ""timestamp""]",0.36363636363636365,0.3323076923076923,1.0,True,2,"[""subject"", ""timestamp""]",0.18181818181818182,0.2076923076923077,False
user_task_25,0,ok,tool_call,0,1,1.0,1.0,1.0,0,[],0.0,1.0,1.0,True,0,[],0.0,1.0,True
user_task_25,15,baseline_unstable,tool_call,11,1167,1.0,1.0,0.0,,,,,,,,,,,
user_task_26,0,ok,final_answer,7,6586,1.0,1.0,1.0,2,"[""filename"", ""size""]",0.2857142857142857,0.05633161251138779,1.0,True,2,"[""filename"", ""size""]",0.2857142857142857,0.05633161251138779,False
user_task_27,0,ok,final_answer,7,6586,1.0,1.0,1.0,2,"[""id_"", ""shared_with""]",0.2857142857142857,0.07774066201032494,1.0,True,2,"[""id_"", ""shared_with""]",0.2857142857142857,0.07774066201032494,False
user_task_28,0,ok,final_answer,7,327,1.0,1.0,1.0,2,"[""content"", ""filename""]",0.2857142857142857,0.8379204892966361,1.0,True,1,"[""content""]",0.14285714285714285,0.8165137614678899,False
user_task_29,0,baseline_unstable,tool_call,7,662,1.0,1.0,0.2,,,,,,,,,,,
user_task_29,2,ok,final_answer,7,640,1.0,1.0,1.0,3,"[""content"", ""filename"", ""id_""]",0.42857142857142855,0.934375,1.0,True,0,[],0.0,0.0015625,True
user_task_30,1,ok,final_answer,7,326,1.0,1.0,1.0,2,"[""content"", ""filename""]",0.2857142857142857,0.7177914110429447,1.0,True,1,"[""content""]",0.14285714285714285,0.6533742331288344,False
user_task_31,0,baseline_unstable,tool_call,7,6586,1.0,1.0,0.6,,,,,,,,,,,
user_task_31,1,ok,final_answer,7,100,1.0,1.0,1.0,2,"[""content"", ""filename""]",0.2857142857142857,0.66,1.0,True,0,[],0.0,0.01,True
user_task_32,2,ok,tool_call,7,100,1.0,1.0,1.0,2,"[""content"", ""filename""]",0.2857142857142857,0.66,1.0,True,1,"[""size""]",0.14285714285714285,0.04,False
user_task_32,3,ok,final_answer,7,107,1.0,1.0,1.0,3,"[""filename"", ""id_"", ""shared_with""]",0.42857142857142855,0.2336448598130841,1.0,True,0,[],0.0,0.009345794392523364,True
user_task_33,0,ok,tool_call,7,309,1.0,1.0,1.0,2,"[""content"", ""filename""]",0.2857142857142857,0.6666666666666666,1.0,True,1,"[""content""]",0.14285714285714285,0.5922330097087378,False
user_task_33,3,ok,final_answer,11,251,1.0,1.0,1.0,4,"[""attachments"", ""body"", ""recipients"", ""subject""]",0.36363636363636365,0.8446215139442231,1.0,True,0,[],0.0,0.00398406374501992,True
user_task_34,2,ok,final_answer,7,177,1.0,1.0,1.0,3,"[""content"", ""filename"", ""id_""]",0.42857142857142855,0.8248587570621468,1.0,True,0,[],0.0,0.005649717514124294,True
user_task_35,0,ok,tool_call,7,6586,1.0,1.0,1.0,2,"[""filename"", ""size""]",0.2857142857142857,0.05633161251138779,0.0,False,3,"[""filename"", ""id_"", ""size""]",0.42857142857142855,0.06878226541147889,False
user_task_35,1,ok,final_answer,7,867,1.0,1.0,1.0,2,"[""id_"", ""size""]",0.2857142857142857,0.008073817762399077,1.0,True,0,[],0.0,0.0011534025374855825,True
user_task_36,2,ok,tool_call,7,216,1.0,1.0,1.0,2,"[""content"", ""filename""]",0.2857142857142857,0.8240740740740741,0.4,False,0,[],0.0,0.004629629629629629,True
user_task_36,3,ok,final_answer,7,108,1.0,1.0,1.0,2,"[""content"", ""filename""]",0.2857142857142857,0.6851851851851852,1.0,True,0,[],0.0,0.009259259259259259,True
user_task_37,3,ok,tool_call,7,85,1.0,1.0,1.0,2,"[""content"", ""filename""]",0.2857142857142857,0.6,1.0,True,1,"[""size""]",0.14285714285714285,0.047058823529411764,False
user_task_37,4,ok,final_answer,7,91,1.0,1.0,1.0,3,"[""filename"", ""id_"", ""shared_with""]",0.42857142857142855,0.27472527472527475,1.0,True,0,[],0.0,0.01098901098901099,True
user_task_38,0,ok,tool_call,7,6586,1.0,1.0,1.0,4,"[""filename"", ""id_"", ""shared_with"", ""size""]",0.5714285714285714,0.13209839052535682,1.0,True,3,"[""id_"", ""shared_with"", ""size""]",0.42857142857142855,0.0907986638323717,False
user_task_38,1,ok,final_answer,7,867,1.0,1.0,1.0,3,"[""filename"", ""id_"", ""size""]",0.42857142857142855,0.0196078431372549,1.0,True,0,[],0.0,0.0011534025374855825,True
